id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
168721,https://batdongsan.vn/10trthang-cho-thue-dat-trong-gan-pho-tay-view-song-nhu-y-pho-di-bo-r168721,"🆘 10tr/tháng. CHO THUÊ ĐẤT TRỐNG GẦN PHỐ TÂY. VIEW SÔNG NHƯ Ý, PHỐ ĐI BỘ","Huế, Thừa Thiên Huế",3600,100.0,,,,False,10.0
168706,https://batdongsan.vn/cho-thue-phong-ngo-90-mieu-dam-nam-tu-liem-ha-noi-r168706,CHO THUÊ PHÒNG NGÕ 90 MIẾU ĐẦM- NAM TỪ LIÊM- HÀ NỘI,"Nam Từ Liêm, Hà Nội",3600,25.0,1.0,1.0,,False,6.5
168313,https://batdongsan.vn/cho-thue-kho-xuong-5100m2-duong-tan-thoi-hiep-21-p-tan-thoi-hiep-q12-gia-310-trieuthang-r168313,"Cho Thuê Kho Xưởng 5.100m² Đường Tân Thới Hiệp 21, P. Tân Thới Hiệp, Q12 – Giá 310 Triệu/Tháng","Quận 12, Hồ Chí Minh",3600,5.0,,,,False,310.0
168354,https://batdongsan.vn/chinh-chu-cho-thue-nha-rieng-tai-ngo-282-da-nang-quan-ngo-quyen-hai-phong-chi-tiep-khach-r168354,"CHÍNH CHỦ CHO THUÊ NHÀ RIÊNG TẠI NGÕ 282 ĐÀ NẴNG,, QUẬN NGÔ QUYỀN, HẢI PHÒNG ( CHỈ TIẾP KHÁCH","Ngô Quyền, Hải Phòng",3600,60.0,1.0,1.0,,False,3.5
168328,https://batdongsan.vn/cho-thue-phong-tro-tai-le-trong-tan-quan-thanh-khe-r168328,CHO THUÊ PHÒNG TRỌ TẠI LÊ TRỌNG TẤN - QUẬN THANH KHÊ,"Thanh Khê, Đà Nẵng",3600,1.0,,,,False,1.4
168959,https://batdongsan.vn/ban-hoac-cho-thue-nha-12pn-6wc-150m2-8-trieuthang-tan-an-long-an-r168959,"Bán hoặc Cho thuê nhà 12PN, 6WC, 150m², 8 triệu/tháng, Tân An, Long An","Tân An, Long An",3600,150.0,12.0,6.0,3.0,False,12.0
168630,https://batdongsan.vn/nha-pho-cho-thue-vp-ban-hang-online-gia-dinh-nho-r168630,"NHÀ PHỐ CHO THUÊ ( VP - BÁN HÀNG ONLINE , GIA ĐÌNH NHỎ )","Tân Bình, Hồ Chí Minh",3600,150.0,3.0,4.0,2.0,False,16.0
168598,https://batdongsan.vn/cho-thue-phong-full-do-khong-chung-chu-ngo-thai-thinh-1-dong-da-ha-noi-r168598,"CHO THUÊ PHÒNG FULL ĐỒ ,  KHÔNG CHUNG CHỦ – NGÕ THÁI THỊNH 1 , ĐỐNG ĐA, HÀ NỘI","Đống Đa, Hà Nội",3600,35.0,1.0,1.0,,False,3.5
169022,https://batdongsan.vn/cho-thue-can-ho-saigon-mia-noi-that-co-ban-dien-tich-70m2-gia-chi-13-trieu-thang-r169022,"Cho thuê căn hộ saigon Mia, nội thất cơ bản , diện tích 70m2, giá chỉ 13 triệu/ tháng","Bình Chánh, Hồ Chí Minh",3600,70.0,,,,False,13.0
168303,https://batdongsan.vn/cho-thue-can-ho-moi-sach-dep-an-toan-kv-hoang-cau-hao-nam-xa-dano-170-la-thanh-o-cho-dua-dong-da-r168303,Cho thuê Căn hộ Mới Sạch Đẹp An toàn kv Hoàng Cầu Hào Nam Xã Đàn...ở 170 La Thành Ô Chợ Dừa Đống Đa,"Đống Đa, Hà Nội",3600,60.0,2.0,1.0,,False,0.0
